Country Name,1970,1980,1990,2000,2010,2020
Ireland,42.9271302075773,49.539846131514,51.0084772826245,55.2355058789374,66.1947307301495,72.5028886630861
United Kingdom,230.079981812921,232.770702269251,236.628719050965,243.427908899268,259.440189310958,277.829508535527
Sweden,19.6003338694741,20.2527928059658,20.8579105132329,21.6213603353317,22.8545255154262,25.4190714689057
France,94.8885559001107,100.739472501945,106.353783836104,111.242094574728,118.759334644612,123.076834009975
Italy,182.999047975247,191.880191084968,192.850430111183,193.608201013226,201.527901679472,200.026947234071
United States,22.3881314035655,24.8090394542612,27.2545136128993,30.7973013298523,33.8157800778799,36.0193500462426
Morocco,35.8577138504279,44.790513107775,55.5847210396594,64.5164060049294,72.470051534842,82.7034685189334
Monaco,11587.0744943266,13197.8293043907,14520.4736063148,15859.8914652195,17567.3408978786,19360.6314750863
Moldova,85.1822900337897,95.0325356184903,103.42763089142,101.813664379984,99.7485620664413,91.1424224383145
Isle of Man,97.2473684210526,111.484210526316,123.319298245614,134.985964912281,148.870175438597,149.178947368421
Belgium,294.197105423522,300.403473491773,303.698324192566,338.548546895641,359.827807133421,381.637945838838
Thailand,72.1966078803656,92.729282232966,110.705232046037,123.221513437335,131.525439918573,136.624279199045
